Nama_Saham,Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol,PerubahanPercent
COCO,2025-09-01,496,474,795,456,163000000,-5.52
COCO,2025-08-01,525,468,555,436,41270000,23.24
COCO,2025-07-01,426,178,426,150,753330000,139.33
COCO,2025-06-01,178,214,214,146,57450000,-24.58
COCO,2025-05-01,236,66,236,66,415040000,257.58
COCO,2025-04-01,66,72,72,62,39330000,-10.81
COCO,2025-03-01,74,77,84,68,19860000,-2.63
COCO,2025-02-01,76,70,118,63,214740000,8.57
COCO,2025-01-01,70,80,83,68,16780000,-14.63
COCO,2024-12-01,82,87,90,79,20400000,-3.53
COCO,2024-11-01,85,93,113,85,72530000,-7.61
COCO,2024-10-01,92,96,97,92,10100000,-4.17
COCO,2024-09-01,96,98,114,93,67480000,-2.04
COCO,2024-08-01,98,98,121,86,144750000,4.26
COCO,2024-07-01,94,124,130,79,35130000,-24.19
COCO,2024-06-01,124,143,160,110,10670000,-11.43
COCO,2024-05-01,140,156,184,140,4810000,-10.26
COCO,2024-04-01,156,186,242,151,19350000,-16.13
COCO,2024-03-01,186,158,280,153,26060000,17.72
COCO,2024-02-01,158,155,172,150,1120000,1.94
COCO,2024-01-01,155,175,224,150,5910000,-11.43
COCO,2023-12-01,175,184,190,158,1910000,-4.89
COCO,2023-11-01,184,166,220,148,5870000,16.46
COCO,2023-10-01,158,153,168,148,2330000,5.33
BRPT,2025-09-01,3000,2100,3150,2050,2720000000,36.99
BRPT,2025-08-01,2190,2800,2850,2090,2830000000,-16.73
BRPT,2025-07-01,2630,1655,2730,1525,5570000000,58.43
BRPT,2025-06-01,1660,1270,1680,1200,5430000000,31.75
BRPT,2025-05-01,1260,745,1375,740,4490000000,69.13
BRPT,2025-04-01,745,605,795,600,1100000000,4.93
BRPT,2025-03-01,710,795,840,585,1550000000,-9.55
BRPT,2025-02-01,785,920,980,760,1560000000,-14.67
BRPT,2025-01-01,920,925,1110,890,2109999999,0.0
BRPT,2024-12-01,920,855,975,805,2120000000,7.6
BRPT,2024-11-01,855,995,1005,785,2730000000,-14.07
BRPT,2024-10-01,995,1055,1075,980,1650000000,-5.24
BRPT,2024-09-01,1050,1140,1240,1050,3410000000,-8.3
BRPT,2024-08-01,1145,1105,1230,1000,3270000000,05.05
BRPT,2024-07-01,1090,1000,1300,980,5240000000,10.1
BRPT,2024-06-01,990,1063,1098,899,2810000000,-6.89
BRPT,2024-05-01,1063,1013,1458,958,5360000000,4.41
BRPT,2024-04-01,1018,963,1043,874,1410000000,7.94
BRPT,2024-03-01,943,978,1058,924,1570000000,-3.08
BRPT,2024-02-01,973,1068,1078,943,1670000000,-8.02
BRPT,2024-01-01,1058,1333,1433,998,3880000000,-20.3
BRPT,2023-12-01,1328,1048,1947,1003,7970000000,27.27
